,title,year,rating,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
96,5-Jun,2004,6.3,,0,0,0,1,0,0,0
97,07 con el 2 delante (Agente: Jaime Bonet),1966,1.8,,0,0,1,0,0,0,0
98,15-Aug,1954,4.6,,0,0,0,1,0,0,0
99,08/15 - In der Heimat,1955,4.2,,0,0,0,1,0,0,0
100,08/15 - Zweiter Teil,1955,3.7,,0,0,0,1,0,0,0
101,1 Giant Leap,2002,6.6,,0,0,0,0,1,0,0
102,1+1=3,1979,7.5,,0,0,1,0,0,0,0
103,"1,000 Dollars a Minute",1935,6.2,,0,0,1,0,0,0,0
104,"1,99 - Um Supermercado Que Vende Palavras",2003,4.9,,0,0,1,0,1,0,0
105,1-2-3-4 ou Les Collants noirs,1960,7.3,,0,0,0,1,0,0,0
106,1. April 2000,1952,6.9,,0,0,0,0,0,0,0
107,1/2 Mensch,1986,8.1,,0,0,0,0,1,0,0
108,10,1979,5.7,,0,0,1,0,0,1,0
109,10 Magnificent Killers,1977,2.6,,1,0,0,1,0,0,0
110,10 Rillington Place,1971,7.2,,0,0,0,1,0,0,0
111,10 Seconds,1998,7.3,,0,0,0,0,0,0,1
112,10 Things I Hate About You,1999,6.7,PG-13,0,0,1,0,0,1,0
113,10 Violent Women,1982,3.8,,1,0,0,1,0,0,0
114,10 from Your Show of Shows,1973,8.6,,0,0,1,0,0,0,0
115,10 jaar leuven kort,2004,7.9,,0,0,0,1,0,0,1
116,10 on Ten,2004,5.9,,0,0,0,0,1,0,0
117,10 pesos,2003,6.1,,0,0,0,0,0,0,1
118,10 to Midnight,1983,5.4,,1,0,0,0,0,0,0
119,10.000 dollari per un massacro,1967,3.6,,0,0,0,0,0,0,0
120,10.7,1997,8.8,,0,0,0,0,0,0,1
121,100 Days,1991,5.8,,0,0,0,0,0,1,0
122,100 Days,2001,6.2,,0,0,0,1,0,0,0
123,100 Girls,2000,5.8,R,0,0,1,0,0,1,0
124,100 Mile Rule,2002,5.6,R,0,0,1,0,0,0,0
125,100 Pro,2001,5.5,,0,0,1,0,0,0,0
126,100 Proof,1997,3.3,,0,0,0,1,0,0,0
127,100 Rifles,1969,5.6,,0,0,0,0,0,0,0
128,100 Years at the Movies,1994,9.2,,0,0,0,0,1,0,1
129,100 minuta slave,2004,5.9,,0,0,0,1,0,0,0
130,1000 Boomerangs,1995,4.6,,0,0,0,1,0,0,0
131,1000 Convicts and a Woman,1971,6.1,,0,0,0,1,0,0,0
132,1000 Rosen,1994,5.1,,0,0,0,1,0,0,0
133,1000 Shapes of a Female,1963,2.2,,0,0,1,0,0,0,0
134,"10000th Day, The",1997,8,,0,0,0,0,0,0,1
135,1001 Arabian Nights,1959,5.2,,0,1,0,0,0,0,0
136,1001 Erotic Nights 2,1986,7.7,,0,0,0,0,0,0,0
137,1001 Nights,1998,7.3,,0,0,0,0,0,0,1
138,"1001 nuits, Les",1990,5.1,,0,0,0,1,0,0,0
139,101,1989,7.8,,0,0,0,0,1,0,0
140,101 Dalmatians,1996,5.5,,0,0,1,0,0,0,0
141,101 Rent Boys,2000,6.3,,0,0,0,0,1,0,0
142,101 Ways (The Things a Girl Will Do to Keep Her Volvo),2000,5.5,,0,0,1,0,0,0,0
143,101-vy kilometer,2001,5.8,,0,0,0,1,0,0,0
144,101byeonjae propose,1993,5.2,,0,0,1,0,0,1,0
145,102 Dalmatians,2000,4.7,,0,0,1,0,0,0,0
146,10:10,2000,6,,0,0,0,0,0,0,1
147,10:30 P.M. Summer,1966,6.2,,0,0,0,1,0,0,0
148,10e chambre - Instants d'audience,2004,7.4,,0,0,0,0,1,0,0
149,11 Harrowhouse,1974,6,,0,0,1,0,0,0,0
150,11 Uhr 59,2000,8.4,,0,0,0,0,0,0,1
151,"11 commandements, Les",2004,4.7,,0,0,1,0,0,0,0
152,11'09''01 - September 11,2002,6.9,,0,0,0,1,0,0,0
153,11:11,2004,4.3,R,0,0,0,0,0,0,0
154,11:14,2003,7.1,,0,0,1,1,0,0,0
155,12 + 1,1969,5.5,,0,0,1,0,0,0,0
156,12 Angry Men,1957,8.7,,0,0,0,1,0,0,0
157,12 B,2001,5.2,,0,0,0,1,0,0,0
158,12 Bucks,1998,5.1,,0,0,0,1,0,0,0
159,12 Hot Women,2003,5.2,,0,0,1,0,0,0,1
160,12 Stops on the Road to Nowhere,1999,7.2,,0,0,1,0,0,0,1
161,12 horas,2001,6.2,,0,0,1,1,0,0,0
162,12 mesyatsev,1956,8.5,,0,1,0,0,0,0,0
163,12 stulev,1971,8.9,,0,0,1,0,0,0,0
164,12 to the Moon,1960,2.8,,0,0,0,0,0,0,0
165,"120 Tage von Bottrop, Die",1997,2.4,,0,0,1,0,0,0,0
166,125 rue Montmartre,1959,5.2,,0,0,0,1,0,0,0
167,12:01 PM,1990,7.4,,0,0,0,0,0,0,1
168,12:35,2002,8.2,,0,0,0,1,0,0,0
169,13 Dead Men,2003,2.2,R,1,0,0,0,0,0,0
170,13 Fighting Men,1960,4.2,,0,0,0,0,0,0,0
171,13 Frightened Girls,1963,5,,0,0,0,0,0,0,0
172,13 Ghosts,1960,5.6,,0,0,0,0,0,0,0
173,13 Going On 30,2004,6.4,PG-13,0,0,1,1,0,1,0
174,13 Lakes,2004,9,,0,0,0,0,1,0,0
175,13 Moons,2002,5.6,R,0,0,1,0,0,0,0
176,13 Rue Madeleine,1947,6.8,,0,0,0,0,0,0,0
177,13 West Street,1962,6.3,,0,0,0,1,0,0,0
178,13 kaidan,2003,7.2,,0,0,0,0,0,0,0
179,13. jul,1982,6.4,,0,0,0,1,0,0,0
180,13ta godenitsa na printsa,1987,6.8,,0,0,0,0,0,0,0
181,"13th Floor, The",1988,4.3,,0,0,0,0,0,0,0
182,"13th House, The",2003,4.9,,0,0,0,0,0,0,0
183,"13th Letter, The",1951,6.1,,0,0,0,0,0,0,0
184,"13th Man, The",1937,5.1,,0,0,0,0,0,0,0
185,"13th Sign, The",2000,3.9,,0,0,0,0,0,0,0
186,"13th Warrior, The",1999,6.1,R,1,0,0,0,0,0,0
187,14 Carrot Rabbit,1952,7.2,,0,1,1,0,0,0,1
188,14 Million Dreams,2003,8.3,,0,0,0,1,1,0,0
189,14 numara,1985,3.6,,0,0,0,1,0,0,0
190,"14, The",1973,6.7,,0,0,0,0,0,0,0
191,14/1 endlos,1998,7,,0,0,0,0,0,0,1
192,1492: Conquest of Paradise,1992,6,,0,0,0,1,0,0,0
193,"14e kippetje, Het",1998,5.5,,0,0,1,1,0,1,0
194,15,2003,6.4,,0,0,1,1,0,0,0
195,15 Amore,1998,6.5,,0,0,0,1,0,0,0
196,15 Minutes,1999,4.8,,0,0,1,0,0,0,1
197,15 Minutes,2001,6.1,R,0,0,0,1,0,0,0
198,15' zondergrond,2000,6.4,,0,0,0,0,0,0,1
199,15-Sai: Gakko IV,2000,5.5,,0,0,0,1,0,0,0
200,15.35: spoor 1,2003,5.6,,0,0,0,1,0,0,0
201,16 Days of Glory,1985,7.7,,0,0,0,0,1,0,0
202,16-Dec,2002,7.3,,1,0,0,0,0,0,1
203,16 Fathoms Deep,1948,7.6,,0,0,0,0,0,0,0
204,16/67: 20. September,1967,5.5,,0,0,0,0,0,0,1
205,16060,1995,6.7,,0,0,0,1,0,0,0
206,17 Seconds to Sophie,1998,5.1,,0,0,0,0,1,0,1
207,17 and Under,1998,4.1,,0,0,0,1,0,0,0
208,17 op,1989,4.4,,0,0,0,0,0,0,0
209,17 rue Bleue,2001,5.7,,0,0,0,1,0,0,0
210,1776,1972,7.3,PG,0,0,0,1,0,0,0
211,1789,1974,5.2,,0,0,0,0,0,0,0
212,"17th Man, The",2004,7.6,,0,0,0,0,0,0,1
213,18 Again!,1988,4.8,,0,0,1,0,0,0,0
214,18 Shades of Dust,1999,4.5,R,0,0,0,1,0,0,0
215,18 Weapons of Kung Fu,1977,2,,1,0,0,1,0,0,0
216,18 anni tra una settimana,1991,5.9,,0,0,0,1,0,0,0
217,18-j,2004,8.5,,0,0,0,1,1,0,0
218,1860,1934,7,,0,0,0,1,0,0,0
219,1871,1990,4.2,,0,0,0,1,0,0,0
220,187: Documented,1997,3,,0,0,0,1,1,0,0
221,1895,1995,7.8,,0,1,0,0,0,0,1
222,19,2000,7,,0,0,0,1,0,0,0
223,19 Months,2002,5.3,R,0,0,1,0,0,0,0
224,19 djevojaka i Mornar,1971,5.4,,0,0,0,0,0,0,0
225,1900,1976,7.5,,0,0,0,1,0,0,0
226,1918,1985,5.8,,0,0,0,1,0,0,0
227,1919,1985,5,,0,0,0,1,0,0,0
228,1919,1997,6.2,,0,0,0,0,0,0,1
229,1925 Studio Tour,1925,8.2,,0,0,0,0,1,0,1
230,1939,1989,5.7,,0,0,0,1,0,0,0
231,1941,1941,7.9,,0,0,0,0,0,0,1
232,1941,1979,5.6,,0,0,1,0,0,0,0
233,1942: A Love Story,1993,6.5,,1,0,0,1,0,1,0
234,1952: Ivan i Aleksandra,1989,7.3,,0,0,0,1,0,0,0
235,1955 Motion Picture Theatre Celebration,1955,4.6,,0,0,0,0,1,0,1
236,1958,1980,5.9,,1,0,0,1,0,0,0
237,1969,1988,5.3,,0,0,0,1,0,0,0
238,1974,2000,4.4,,0,1,0,0,0,0,1
239,"1974, une partie de campagne",1974,7.6,,0,0,0,0,1,0,0
240,1984,1956,6.9,,0,0,0,1,0,0,0
241,1990: I guerrieri del Bronx,1982,3.9,,1,0,0,0,0,0,0
242,1991: The Year Punk Broke,1992,6.9,,0,0,0,0,1,0,0
243,1997 - Zapisi Rustema s risunkami,1998,7.9,,0,0,0,0,0,0,0
244,1999,1998,5.3,R,0,0,0,1,0,0,0
245,1999 - Nen no natsu yasumi,1988,6.5,,0,0,0,1,0,0,0
246,1999 Madeleine,1999,5.6,,0,0,1,0,0,1,0
247,2 A.M. in the Subway,1905,5.2,,0,0,1,0,0,0,1
248,2 Birds with 1 Stallone,2002,1.5,,0,0,0,1,0,0,0
249,2 Days in the Valley,1996,6.4,R,0,0,0,1,0,0,0
250,2 Dyuo,1997,6.5,,0,0,0,1,0,0,0
251,2 Fast 2 Furious,2003,5.1,PG-13,1,0,0,0,0,0,0
252,2 G's & a Key,2000,4.4,,1,0,0,0,0,0,0
253,"2 Little, 2 Late",1999,6.5,,0,0,1,1,0,0,0
254,2 bileta na dnevnoy seans,1966,8.2,,0,0,0,0,0,0,0
255,"2 deputati, I",1968,6.9,,0,0,1,0,0,0,0
256,2 minutter,2001,6.9,,0,0,0,0,0,0,1
257,2 or 3 Things But Nothing for Sure,1997,7.2,,0,0,0,0,1,0,1
258,2 ou 3 choses que je sais d'elle,1967,6.7,,0,0,0,1,0,0,0
259,2 ryk og 1 aflevering,2003,5.5,,0,0,1,1,0,0,0
260,2 secondes,1998,6.8,,0,0,1,1,0,1,0
261,2+1,2004,8.2,,0,0,1,0,0,0,1
262,2+5: Missione Hydra,1965,3.3,,0,0,0,0,0,0,0
263,"2,000 Women",1944,5.9,,0,0,0,0,0,0,0
264,2. juledag,2000,5.5,,0,0,0,0,0,0,1
265,20 Dates,1998,5.4,R,0,0,1,0,1,1,0
266,20 Fingers,2004,6.7,,0,0,0,1,0,0,0
267,20 Million Miles to Earth,1957,6.2,,0,0,0,0,0,0,0
268,20 Mule Team,1940,7.1,,0,0,0,0,0,0,0
269,"20,000 Cheers for the Chain Gang",1933,6.5,,0,0,1,0,0,0,1
270,"20,000 Leagues Under the Sea",1916,6.2,,1,0,0,0,0,0,0
271,"20,000 Years in Sing Sing",1932,7,,0,0,0,1,0,0,0
272,20-seiki nosutarujia,1997,3.7,,0,0,0,0,0,0,0
273,"20. Juli, Der",1955,8.6,,0,0,0,0,0,0,0
274,20/20 Vision,1999,1,,0,0,1,0,0,0,1
275,200 American,2003,5.4,,0,0,0,0,0,1,0
276,200 Cigarettes,1999,5.4,R,0,0,1,1,0,0,0
277,200 Motels,1971,5.2,,0,0,1,0,0,0,0
278,2000 Nordestes,2000,7.9,,0,0,0,0,1,0,0
279,2000 Years Later,1969,4.4,,0,0,1,0,0,0,0
280,20000 Leagues Under the Sea,1954,7.1,,0,0,0,1,0,0,0
281,2001 Yonggary,1999,3.1,PG-13,1,0,0,0,0,0,0
282,2001: A Space Odyssey,1968,8.3,,0,0,0,0,0,0,0
283,2001: A Space Travesty,2000,2.5,R,0,0,1,0,0,0,0
284,2002: The Rape of Eden,1994,4,,1,0,1,1,0,0,0
285,2009: Lost Memories,2002,6.6,R,1,0,0,1,0,0,0
286,"201 Kanarinia, Ta",1964,7.1,,0,0,0,0,0,0,0
287,2010,1984,6.5,,0,0,0,0,0,0,0
288,2010: The Odyssey Continues,1984,5.8,,0,0,0,0,1,0,1
289,2019 - Dopo la caduta di New York,1983,5.3,,1,0,0,0,0,0,0
290,203 kochi,1980,6.8,,0,0,0,1,0,0,0
291,2046,2004,7.6,R,0,0,0,1,0,1,0
292,2069 A.D.,1969,5.3,,0,0,0,0,0,0,0
293,2084,1984,6.4,,0,0,0,0,1,0,1
294,20:30:40,2004,7.1,,0,0,1,1,0,1,0
295,20h17 rue Darling,2003,6.3,,0,0,0,1,0,0,0
296,21,2000,6,,0,0,1,1,0,1,0
297,21 Grams,2003,8,R,0,0,0,1,0,0,0
298,21-87,1964,6.1,,0,0,0,0,0,0,1
299,2103: The Deadly Wake,1997,3.8,,0,0,0,0,0,0,0
300,21st Century Jet: The Building of the 777,1996,7.6,,0,0,0,0,1,0,0
301,22 June 1897,1979,6,,0,0,0,1,0,0,0
302,23,1998,7.2,,0,0,0,1,0,0,0
303,23 -- Skidoo,1930,4.8,,0,0,1,0,0,0,1
304,23 Paces to Baker Street,1956,7,,0,0,0,0,0,0,0
305,237,2000,4.3,,0,0,0,0,0,0,1
306,23:58,1993,7,,0,0,0,0,0,0,0
307,23rd March 1931: Shaheed,2002,6.3,,0,0,0,0,0,0,0
308,24,2002,7.4,,0,0,0,1,0,0,0
309,24 7: Twenty Four Seven,1997,6.7,R,0,0,1,1,0,0,0
310,24 Hour Party People,2002,7.2,R,0,0,1,1,0,0,0
311,"24 Hour Woman, The",1999,5.6,R,0,0,1,0,0,0,0
312,24 Hours,1931,7,,0,0,0,0,0,0,0
313,24 Hours in London,2000,3.8,R,0,0,0,0,0,0,0
314,24 Nights,1999,6.3,,0,0,1,0,0,0,0
315,24 chasa,2000,6,,0,0,0,1,0,0,0
316,24 heures de la vie d'une femme,2002,5.6,,0,0,0,1,0,0,0
317,24 heures ou plus...,1977,7.6,,0,0,0,0,0,0,0
318,24 horas de placer,1969,8.1,,0,0,1,0,0,0,0
319,24-Seven,1999,5.9,,0,0,1,0,0,0,1
320,24/24,2001,4.8,,0,0,0,0,0,0,1
321,24fps,2000,4.8,,0,0,0,0,0,0,1
322,"24th Day, The",2004,6.4,R,0,0,0,0,0,0,0
323,25 Kids and a Dad,2002,6.2,,0,0,0,0,0,0,0
324,25 Watts,2001,7,,0,0,1,1,0,0,0
325,25 Ways to Quit Smoking,1989,7.2,,0,1,1,0,0,0,1
326,25th Hour,2002,7.8,R,0,0,0,1,0,0,0
327,26 Summer Street,1996,4.7,,0,0,0,0,0,0,1
328,27 Down,1974,8.9,,0,0,0,0,0,0,0
329,27 Missing Kisses,2000,6.6,,0,0,1,1,0,1,0
330,27 horas,1986,5.2,,0,0,0,0,0,0,0
331,27A,1974,5,,0,0,0,1,0,0,0
332,"27th Day, The",1957,5.9,,0,0,0,0,0,0,0
333,28 Days,2000,6,PG-13,0,0,0,1,0,0,0
334,28 Days Later...,2002,7.3,R,0,0,0,0,0,0,0
335,28 minuti per 3 milioni di dollari,1967,3.9,,0,0,0,0,0,0,0
336,"28 oktovriou, ora 5:30",1971,6.2,,0,0,0,1,0,0,0
337,29 Palms,2002,4.7,R,0,0,1,1,0,0,0
338,29th Street,1991,6.9,,0,0,1,0,0,0,0
339,2BPerfectlyHonest,2004,7.3,R,0,0,1,1,0,0,0
340,2LDK,2002,7.3,,0,0,0,0,0,0,0
341,2by4,1998,6.4,,0,0,0,1,0,0,0
342,"2wks, 1yr",2002,9.4,,0,0,0,0,0,0,0
343,3,1971,6,,0,0,0,1,0,0,0
344,3 A.M.,1976,6.9,,0,0,0,0,0,0,0
345,3 A.M.,2001,5.9,,0,0,0,0,0,0,0
346,3:00 AM,2003,4.8,,0,0,0,0,0,0,1
347,3 Bad Men,1926,5.6,,0,0,0,0,0,0,0
348,3 Chinesen mit dem Kontrabass,2000,6.5,,0,0,1,0,0,0,0
349,3 Days of Rain,2002,5.8,,0,0,0,1,0,0,0
350,3 Dumb Clucks,1937,7.1,,0,0,1,0,0,0,1
351,3 Feet Under: Digging Deep for the Geoduck,2003,7,,0,0,0,0,1,0,0
352,3 Godfathers,1948,6.9,,0,0,0,1,0,0,0
353,3 Little Ninjas and the Lost Treasure,1990,2.2,,0,0,0,0,0,0,0
354,3 Men and a Little Lady,1990,4.5,,0,0,1,0,0,0,0
355,3 Minute Wonder,2000,4.3,,0,0,0,0,0,0,1
356,3 Misses,1998,7.2,,0,1,1,0,0,0,1
357,3 Ninjas,1992,4,,1,0,1,0,0,0,0
358,3 Ninjas Kick Back,1994,3.5,,1,0,1,0,0,0,0
359,3 Ninjas Knuckle Up,1995,2.9,PG-13,1,0,1,0,0,0,0
360,3 Ninjas: High Noon at Mega Mountain,1998,2.2,PG,1,0,1,0,0,0,0
361,3 Nuts in Search of a Bolt,1964,5.2,,0,0,1,0,0,0,0
362,3 Ring Circus,1954,5.6,,0,0,1,0,0,0,0
363,3 Ring Wing-Ding,1968,6.3,,0,1,1,0,0,0,1
364,3 Strikes,2000,3.7,,0,0,1,0,0,0,0
365,3 Tage 44,2000,5,,0,0,0,0,0,0,1
366,3 Weeks After Paradise,2002,7,,0,0,0,0,0,0,0
367,3 Women,1977,7.7,,0,0,0,1,0,0,0
368,"3 Worlds of Gulliver, The",1960,6,,0,1,0,0,0,0,0
369,3 dev adam,1973,5.2,,1,0,0,0,0,0,0
370,3 hommes et un couffin,1985,6.6,,0,0,1,0,0,0,0
371,3 noches,2001,6.4,,0,0,0,0,0,0,0
372,3-4x juugatsu,1990,6.6,,1,0,1,0,0,0,0
373,3-Way,2004,4.6,R,0,0,0,1,0,0,0
374,30 Days,1999,4.2,,0,0,1,0,0,1,0
375,"30 Foot Bride of Candy Rock, The",1959,4.6,,0,0,1,0,0,0,0
376,30 Frames a Second: The WTO in Seattle,2000,5.4,,0,0,0,0,1,0,0
377,"30 Is a Dangerous Age, Cynthia",1968,4.8,,0,0,1,0,0,1,0
378,30 Winchester per El Diablo,1965,3.4,,0,0,0,0,0,0,0
379,30 Years of Fun,1963,6.7,,0,0,1,0,0,0,0
380,30 Years to Life,2001,5.1,R,0,0,1,1,0,1,0
381,30 ans,2000,5.8,,0,0,0,0,0,0,0
382,30 panen a Pythagoras,1977,2.5,,0,0,1,0,0,0,0
383,"30, Still Single: Contemplating Suicide",1998,7.1,,0,0,1,0,0,0,0
384,"300 Spartans, The",1962,6.4,,0,0,0,1,0,0,0
385,3000 Miles to Graceland,2001,5.4,R,1,0,1,0,0,0,0
386,"301, 302",1995,6.8,,0,0,0,0,0,0,0
387,30:e november,1995,3.9,,0,0,0,1,0,0,0
388,31,2003,2.8,,0,0,0,0,0,0,1
389,"317e section, La",1965,8,,0,0,0,0,0,0,0
390,322,1969,6,,0,0,0,1,0,0,0
391,34-y skoryy,1981,7.3,,1,0,0,0,0,0,0
392,35 Aside,1995,6.6,,0,0,1,0,0,0,1
393,35 Miles from Normal,1997,6.6,,0,0,0,1,0,0,0
394,36 Chowringhee Lane,1981,7.7,,0,0,0,0,0,0,0
395,"36 Deadly Styles, The",1980,5.1,,0,0,0,0,0,0,0
396,36 Hours,1953,5.7,,0,0,0,1,0,0,0
397,36 Hours,1965,7.3,,0,0,0,0,0,0,0
398,36 fillette,1988,6,,0,0,0,1,0,1,0
399,36 ore all'inferno,1969,3.7,,1,0,0,0,0,0,0
400,365 Nights in Hollywood,1934,5.8,,0,0,1,0,0,0,0
401,36K,2000,7.8,,0,0,0,0,0,0,0
402,37 og et halvt,2005,5.6,,0,0,1,1,0,0,0
403,39 Pounds of Love,2005,7.6,,0,0,0,0,1,0,0
404,"39 Steps, The",1935,8,,0,0,0,1,0,0,0
405,"39 Steps, The",1959,6.6,,0,0,0,1,0,0,0
406,3:10 to Yuma,1957,7.7,,0,0,0,0,0,0,0
407,3:15,1986,4.5,,1,0,0,1,0,0,0
408,3:am,2005,8.8,,0,0,0,0,0,0,1
409,3D,2000,6,,0,0,0,0,0,0,1
410,3azima,2003,5,,0,0,0,1,0,0,1
411,"3groschenoper, Die",1931,6.9,,0,0,0,0,0,0,0
412,"3rd Voice, The",1960,7.3,,0,0,0,1,0,0,0
413,4,2004,6.3,,0,0,0,1,0,0,0
414,4 Artists Paint 1 Tree: A Walt Disney 'Adventure in Art',1964,6.9,,0,0,0,0,1,0,1
415,4 Clowns,1970,7.9,,0,0,1,0,0,0,0
416,4 Devils,1928,8.7,,0,0,0,1,0,0,0
417,4 Freunde und 4 Pfoten,2003,5.1,,0,0,0,0,0,0,0
